GPU,3DMark Time SpyGraphics,3DMark Fire StrikeGraphics,3DMark Port Royal,TDP※一部は推定値
GeForce RTX 3080,11758.0,27802,7207.0,80W – 150W
Radeon RX 6800M,11719.0,33767,5470.0,?W – 145W
GeForce RTX 3070,10463.0,26513,6243.0,80W – 125W
GeForce RTX 2080 Super,10165.0,26169,6285.0,150W
GeForce RTX 2080,9947.0,25687,5982.0,150W
Radeon RX 6700M,8717.0,27449,,?W – 135W
GeForce RTX 2080 Super Max-Q,8539.0,21902,5244.0,80W
GeForce RTX 2070 Super,8272.0,22016,5019.0,115W
GeForce RTX 3060,8261.0,20193,4702.0,60W – 115W
GeForce RTX 2080 Max-Q,7947.0,20703,4620.0,80W
Radeon RX 6600M,7878.0,22844,3514.0,50W – 100W
GeForce RTX 2070,7563.0,20314,4530.0,115W
GeForce RTX 2070 Super Max-Q,7554.0,20872,4642.0,80W
GeForce GTX 1080,7092.0,21394,1491.0,150W
GeForce RTX 2070 Max-Q,6911.0,17314,4079.0,80W
Radeon RX 5600M,6188.0,18807,,85W?
GeForce GTX 1080 Max-Q,6039.0,18436,1269.0,90W – 110W
GeForce RTX 2060,5963.0,15728,3546.0,80W
GeForce RTX 2060 Max-Q,5649.0,14653,3182.0,65W
GeForce GTX 1660 Ti,5610.0,14718,1514.0,80W
GeForce GTX 1070,5523.0,17236,1160.0,115W
GeForce RTX 3050 Ti,5113.0,14679,563.0,35W – 80W
GeForce GTX 1660 Ti Max-Q,4986.0,13271,1356.0,60W
GeForce GTX 1070 Max-Q,4872.0,14678,959.0,80W
GeForce RTX 3050,4839.0,13088,538.0,35W – 80W
Radeon RX 5500M,4285.0,12102,,85W
Radeon RX 580,3868.0,11630,,100W
GeForce GTX 980,3850.0,13047,,165W
GeForce GTX 1060,3704.0,11558,,80W
GeForce GTX 1650 Ti,3679.0,10209,,50W
GeForce GTX 1060 Max-Q,3469.0,10313,667.0,60W – 70W
GeForce GTX 1650,3453.0,9283,,50W
Radeon Pro 5500M(4GB),3426.0,10399,,50W
Radeon RX 5300M,,10306,,65W
GeForce GTX 1650 Ti Max-Q,3140.0,8093,,35W
GeForce GTX 980M,3119.0,9682,,100W
GeForce GTX1650 Max-Q,2930.0,7779,,35W
GeForce GTX 1050 Ti Max-Q,2382.0,7324,,40W
GeForce GTX 1050 Ti,2347.0,7740,,75W
GeForce GTX 970M,2267.0,7272,,100W
GeForce GTX 1050 Max-Q,2232.0,5649,,40W
Radeon RX Vega M GL,2112.0,7333,,–
GeForce GTX 1050,2111.0,6067,,75W
Radeon RX 560X,1864.0,6327,,75W
GeForce GTX 965M,1794.0,5620,,70W
Iris Xe MAX,1720.0,6222,,25W
GeForce MX450 (12W),1682.0,4371,,12W
GeForce GTX 880M,1641.0,6093,,122W
Radeon Pro 560X,,5699,,35W
Iris Xe Graphics G7 (96EU),1589.0,5414,,–
GeForce GTX 780M,1477.0,5213,,122W
GeForce GTX 870M,1347.0,4769,,100W
GeForce MX350,1326.0,4340,,25W
GeForce GTX 960M,1222.0,4292,,60W
"Radeon RX Vega 8 (Ryzen 4,5000)",1173.0,3938,,–
GeForce MX330,1160.0,3838,,25W
GeForce GTX 860M,1148.0,3904,,75W
Iris Xe Graphics G7 (80EU),1131.0,3883,,–
GeForce MX250 (25W),1096.0,3638,,25W
"Radeon RX Vega 7 (Ryzen 4,5000)",1045.0,3347,,–
GeForce MX150,1007.0,3310,,25W
Radeon Pro 560,,3892,,35W
GeForce GTX 950M,971.0,3383,,50W
GeForce GTX 850M,971.0,3085,,45W
GeForce GTX 770M,963.0,3347,,75W
GeForce MX250 (10W),890.0,2959,,10W
"Radeon RX Vega 6 (Ryzen 4,5000)",854.0,2755,,–
"Radeon RX Vega 5 (Ryzen 4,5000)",844.0,2438,,–
Iris Plus Graphics G7,789.0,2864,,–
Quadro K3100M,,2797,,75W
"Radeon RX Vega 10 (Ryzen 2,3000)",761.0,2157,,–
GeForce GTX 765M,759.0,2479,,75W
"Radeon RX Vega 8 (Ryzen 2,3000)",716.0,2109,,–
UHD Xe Graphics G4 (48EU),723.0,2250,,–
GeForce GTX 670MX,695.0,2371,,75W
"Radeon RX Vega 6 (Ryzen 2,3000)",662.0,2064,,–
Iris Plus Graphics G4,646.0,2210,,–
GeForce MX130,644.0,2262,,30W
Iris Plus Graphics 655,632.0,2070,,–
GeForce 940MX,573.0,1873,,23W
Iris Plus Graphics 645,550.0,1893,,–
Iris Plus Graphics 650,548.0,1698,,–
Iris Plus Graphics 640,526.0,1393,,–
Radeon HD 8790M,519.0,1590,,–
GeForce 940M,505.0,1666,,33W
Quadro K2100M,,1641,,55W
GeForce 840M,496.0,1611,,33W
GeForce 930MX,475.0,1212,,17W
GeForce GT 750M,465.0,1700,,33W
UHD Gpradhics G1,446.0,1521,,–
Radeon R7 M260,400.0,1121,,–
"Radeon RX Vega 3 (Ryzen 2,3000)",397.0,1259,,–
UHD Graphics 620,356.0,1141,,–
GeForce GT 740M,341.0,1233,,33W
HD Graphics 620,329.0,728,,–
HD Graphics 6000,315.0,951,,–
UHD Graphics 617,293.0,997,,–
Radeon HD 6770M,,979,,108W
Radeon 8570M,277.0,893,,–
UHD Graphics 615,272.0,819,,–
HD Graphics 520,263.0,616,,–
HD Graphics 615,261.0,813,,–
HD Graphics 5500,232.0,663,,–
UHD Graphics 610,222.0,742,,–
HD Graphics 610,196.0,606,,–
GeForce 710M,181.0,728,,12W
HD Graphics 5000,173.0,715,,–
GeForce GT 630M,169.0,715,,33W
HD Graphics 4400 Mobile,158.0,514,,–
HD Graphics 510,154.0,607,,–
UHD Graphics 605,125.0,468,,–
HD Graphics 4000 Mobile,,447,,–
UHD Graphics 600,110.0,430,,–
HD Graphics 500,101.0,360,,–
HD Graphics 505,94.0,408,,–
HD Graphics 400,,230,,–
